EmployeeID,FirstName,LastName,DateOfBirth,Gender,HireDate,DepartmentID
476,Lori,Willis,1989-01-03,F,2021-01-07,3
477,Pamela,Cortez,1969-05-24,F,2023-11-02,5
478,Kimberly,Maldonado,1991-01-23,F,2016-08-18,10
479,Holly,Gomez,1986-04-02,F,2023-09-11,8
480,Robert,Hendricks,1979-05-08,F,2024-03-04,5
481,Kevin,Lam,1997-12-22,M,2017-01-27,10
482,Daniel,Rivera,1994-06-27,M,2015-01-30,5
483,Ronald,Burgess,1966-02-23,M,2019-09-07,2
484,Ashlee,Smith,1996-02-24,M,2022-01-13,3
485,Sandra,Velasquez,1970-06-01,M,2023-04-09,8
486,Shari,Cunningham,1981-10-09,M,2024-04-11,3
487,Robert,Farley,1998-01-08,M,2021-07-25,4
488,Cory,Cox,1996-11-06,F,2018-01-23,10
489,Kim,Garrett,2000-12-20,M,2022-06-18,8
490,Jessica,Morris,1990-04-22,F,2017-12-13,7
491,Anthony,Patton,1995-08-27,M,2021-02-23,7
492,Sean,Burke,1981-07-17,F,2015-12-25,3
493,Gina,Archer,1975-10-22,M,2016-02-24,4
494,Anthony,Smith,1979-02-14,M,2023-08-06,7
495,Samantha,Taylor,2000-04-20,F,2021-04-30,1
496,Suzanne,Williams,1988-04-12,F,2016-07-22,9
497,Jennifer,Martinez,1974-05-06,F,2023-02-09,1
498,Christian,Noble,1984-01-26,F,2022-06-05,8
499,Chad,Fry,1973-04-06,F,2017-05-06,7
500,Michael,Castillo,1994-07-31,M,2015-01-14,6
